P,I,U,hidden_1,hidden_2,hidden_3,T_1500
1,2,160,-0.15568042,2.1583807,0.6386332,8.7682428e-10
1,2,180,0.7707132,2.2027304,0.73984015,6.2905835e-10
1,2,200,1.2899394,1.903429,-0.8167945,4.7610565e-10
1,2,220,1.8549321,1.3806715,-0.94404304,3.8113114e-10
1,2,250,3.0032945,1.7421134,-1.7484884,2.9054189e-10
1,3,50,-1.9663656,0.9223566,0.28155017,2.1058661e-08
1,3,60,-1.8468807,0.47566795,0.9559548,1.3360317e-08
1,3,70,-1.8558937,0.50511277,1.2760373,9.3753141e-09
1,3,80,-2.2844412,1.1167723,0.59921825,7.2035847e-09
1,3,90,-2.607275,2.2161405,-0.7440752,5.5324616e-09
1,3,100,-1.8260475,1.5049968,0.012489513,4.2762929e-09
1,3,120,-1.3153583,1.3889036,0.13610666,2.7805847e-09
1,3,140,-2.272044,2.9641256,-0.9021815,2.0698924e-09
1,3,160,-1.0217624,2.7281153,-0.8741417,1.2974384e-09
1,3,180,1.0655332,1.3744755,0.9369352,8.5305273e-10
1,3,200,1.9471121,0.9312856,0.9944924,6.1318459e-10
1,3,220,3.2369637,-0.8026068,2.4746768,4.5888521e-10
1,3,250,4.1395273,-0.8603723,3.839765,3.4878614e-10
1,4,50,1.5341579,1.4534686,0.0712945,2.602869e-08
1,4,60,1.5161924,0.83056664,0.57598984,1.3809784e-08
1,4,70,1.9685228,-0.06979418,1.256908,8.439018e-09
1,4,80,2.0116086,-0.23232189,1.5077382,6.1030049e-09
1,4,90,1.9207389,-0.36754465,1.2915758,4.8650343e-09
1,4,100,1.5881335,-0.25703663,1.1640109,4.0441946e-09
1,4,120,1.259889,0.053137183,1.091555,3.0401353e-09
1,4,140,0.3056581,0.7479645,0.75899386,2.3933747e-09
1,4,160,-0.636273,1.4637785,0.68823045,1.9616465e-09
1,4,180,-1.5134016,3.5049255,-1.1078441,1.5511284e-09
1,4,200,0.012190998,2.6715562,-0.84937024,1.0219887e-09
1,4,220,1.2747719,2.0631347,-0.5014462,6.9613897e-10
1,4,250,2.708564,0.49987698,1.791021,4.5883404e-10
1,5,70,4.696928,-2.8225417,1.9435788,1.1131257e-08
1,5,80,4.3888526,-2.6256318,1.9839555,7.8691786e-09
1,5,90,4.0164914,-2.2451632,1.9139425,6.118824e-09
1,5,100,3.5594401,-1.8181646,1.8142515,5.0590642e-09
1,5,120,2.5028548,-0.6912493,1.0899919,3.8054969e-09
1,5,140,1.7547538,0.060705543,0.9082835,3.0367959e-09
1,5,160,0.8911396,0.7145268,0.58755034,2.4504584e-09
1,5,180,0.08159503,1.4395013,0.60130394,2.0375656e-09
1,5,200,-1.0338326,2.7082992,0.23127402,1.699494e-09
1,5,220,-0.5099386,3.1906989,-1.0411918,1.2184758e-09
1,5,250,1.5083954,1.5812137,-0.121785626,7.050399e-10
3,1,50,-4.66785,2.3456526,-1.5861455,1.7877021e-08
3,1,60,-4.411232,2.5108814,-1.6096581,1.1700645e-08
3,1,70,-4.1721992,2.534438,-1.4883358,8.3071393e-09
3,1,80,-4.127295,2.581446,-1.4371579,6.2015215e-09
3,1,90,-3.7016246,2.3491652,-1.0518767,4.5261653e-09
3,1,100,-3.4917057,2.4055936,-0.8320232,3.4625534e-09
3,1,120,-3.114342,2.7530196,-1.3910778,2.3654834e-09
3,1,140,-1.9444996,2.5641742,-0.45102447,1.5459302e-09
3,1,160,-0.5278835,1.8022285,0.32199335,1.0293849e-09
3,1,180,0.9585123,1.2224325,1.4404606,7.1879397e-10
3,1,200,2.1339986,0.42995822,2.0746944,5.4513114e-10
3,1,220,2.775471,-0.13230515,2.871402,4.4878614e-10
3,1,250,3.9693608,-0.37989077,2.7121222,3.1054189e-10
3,2,50,-2.22096,0.42666364,-0.22813495,1.9619301e-08
3,2,60,-2.652347,0.774135,0.069638655,1.3380129e-08
3,2,70,-3.1861978,2.1488032,-0.91792923,9.9531054e-09
3,2,80,-2.3194284,1.5496042,-0.6380408,6.7069753e-09
3,2,90,-1.3510545,0.8569708,0.08673622,4.8761069e-09
3,2,100,-1.1262188,0.7582909,-0.0073117167,3.8537453e-09
3,2,120,-1.2169304,0.77140987,0.19741376,2.7225903e-09
3,2,140,-1.9034191,1.6624434,0.009181336,2.1476009e-09
3,2,160,-2.3590763,3.3156364,-0.97897863,1.7129109e-09
3,2,180,-0.61555725,2.370368,-0.25951153,1.1446861e-09
3,2,200,0.4186141,2.0042198,0.17176183,8.4848397e-10
